Building,Timestamp,DayOfWeek,TimeOnly
Capen Hall,2026-02-27T21:10:00,Friday,21:10
Student Union,2026-02-27T21:40:00,Friday,21:40
Capen Hall,2026-02-27T22:05:00,Friday,22:05
Baldy Hall,2026-02-28T00:15:00,Saturday,00:15
Student Union,2026-02-28T00:45:00,Saturday,00:45
Student Union,2026-02-28T01:05:00,Saturday,01:05
Lockwood Library,2026-02-28T21:20:00,Saturday,21:20
Capen Hall,2026-03-01T22:10:00,Sunday,22:10
Capen Hall,2026-03-01T22:35:00,Sunday,22:35
Baldy Hall,2026-03-02T23:10:00,Monday,23:10
Student Union,2026-03-02T23:30:00,Monday,23:30
Student Union,2026-03-03T00:05:00,Tuesday,00:05
